customer_id,customer_name,segment,lifetime_orders,lifetime_value,lifetime_profit,lifetime_units,avg_discount,first_order,last_order,distinct_products,avg_order_value,profit_margin,tenure_days,recency_days,is_repeat,is_high_value,r_score,f_score,m_score,rfm_score,rfm_segment
SM-20320,Sean Miller,Home Office,5,25043.05,-1980.7393,50,0.24666666666666667,2015-03-18,2018-10-12,15,5008.61,-7.909337321133009,1304,80,True,True,3,2,5,10,Loyal
TC-20980,Tamara Chand,Corporate,5,19052.218,8981.323900000001,42,0.11666666666666665,2015-11-07,2017-11-26,12,3810.4436,47.140568620409454,750,400,True,True,1,2,5,8,Potential
RB-19360,Raymond Buch,Consumer,6,15117.339,6976.0959,71,0.09444444444444444,2017-04-01,2018-09-25,18,2519.5565,46.146321783218596,542,97,True,True,3,3,5,11,Loyal
TA-21385,Tom Ashbrook,Home Office,4,14595.62,4703.7883,36,0.07999999999999999,2015-09-12,2018-10-22,10,3648.905,32.22739630108211,1136,70,True,True,3,2,5,10,Loyal
AB-10105,Adrian Barton,Consumer,10,14473.570999999998,5444.8055,73,0.24,2015-12-20,2018-11-19,20,1447.3570999999997,37.618950430408646,1065,42,True,True,4,5,5,14,Champion
KL-16645,Ken Lonsdale,Consumer,12,14175.229000000001,806.855,113,0.19999999999999998,2015-07-25,2018-11-13,28,1181.2690833333334,5.692006809907621,1207,48,True,True,4,5,5,14,Champion
SC-20095,Sanjit Chand,Consumer,9,14142.333999999999,5757.411899999999,87,0.06363636363636364,2015-02-12,2018-01-15,22,1571.3704444444443,40.71047890680562,1068,350,True,True,1,5,5,11,Loyal
HL-15040,Hunter Lopez,Consumer,6,12873.297999999999,5622.4292000000005,50,0.018181818181818184,2015-01-20,2018-11-17,11,2145.5496666666663,43.675126607027984,1397,44,True,True,4,3,5,12,Loyal
SE-20110,Sanjit Engle,Consumer,11,12209.438000000002,2650.6769,78,0.1105263157894737,2015-04-11,2018-12-21,19,1109.9489090909092,21.710064787584813,1350,10,True,True,5,5,5,15,Champion
CC-12370,Christopher Conant,Consumer,5,12129.072000000002,2177.0493,34,0.2818181818181818,2017-05-23,2018-11-17,11,2425.8144,17.94901786385636,543,44,True,True,4,2,5,11,Loyal
TS-21370,Todd Sumrall,Corporate,6,11891.751,2371.7144000000003,59,0.11666666666666667,2015-10-28,2018-11-24,15,1981.9585,19.944198293422055,1123,37,True,True,4,3,5,12,Loyal
GT-14710,Greg Tran,Consumer,11,11820.119999999999,2163.4269,106,0.1,2015-05-23,2018-11-24,28,1074.5563636363636,18.30291824448483,1281,37,True,True,4,5,5,14,Champion
BM-11140,Becky Martin,Consumer,4,11789.63,-1659.9580999999998,64,0.16875,2015-09-08,2018-02-26,16,2947.4075,-14.079815057809277,902,308,True,True,1,1,5,7,Potential
SV-20365,Seth Vernon,Consumer,10,11470.949999999999,1199.4242,109,0.15625,2015-01-11,2018-09-20,31,1147.0949999999998,10.456188894555376,1348,102,True,True,3,5,5,13,Champion
CJ-12010,Caroline Jumper,Consumer,8,11164.974,858.7414,83,0.1885,2017-03-10,2018-06-24,20,1395.62175,7.691387369106279,471,190,True,True,2,4,5,11,Loyal
CL-12565,Clay Ludtke,Consumer,12,10880.546,1933.7830999999999,106,0.1142857142857143,2015-03-04,2018-03-21,28,906.7121666666667,17.772849818382277,1113,285,True,True,1,5,5,11,Loyal
ME-17320,Maria Etezadi,Home Office,10,10663.728000000001,1859.4695,82,0.1318181818181818,2015-01-06,2018-11-18,22,1066.3728,17.437330547065713,1412,43,True,True,4,5,5,14,Champion
KF-16285,Karen Ferguson,Home Office,7,10604.266,1660.1386,67,0.03333333333333334,2015-09-26,2018-09-24,18,1514.895142857143,15.655384351920256,1094,98,True,True,3,4,5,12,Loyal
BS-11365,Bill Shonely,Corporate,5,10501.653,2616.0643999999998,39,0.011111111111111112,2015-05-04,2017-06-20,9,2100.3306000000002,24.910977348042255,778,559,True,True,1,2,5,8,Potential
EH-13765,Edward Hooks,Corporate,12,10310.880000000001,1393.5154,120,0.07187500000000001,2015-04-12,2018-08-17,32,859.2400000000001,13.514999689648215,1223,136,True,True,2,5,5,12,Loyal
JL-15835,John Lee,Consumer,11,9799.923,228.907,143,0.08823529411764706,2015-04-18,2018-12-09,33,890.9020909090909,2.3358040670319555,1331,22,True,True,5,5,5,15,Champion
GT-14635,Grant Thornton,Corporate,3,9351.212,-4108.6589,26,0.25,2015-06-06,2018-11-04,6,3117.0706666666665,-43.93718054943039,1247,57,True,True,3,1,5,9,Potential
HW-14935,Helen Wasserman,Corporate,8,9300.254,2164.1611,85,0.045,2016-09-27,2018-09-04,20,1162.53175,23.26991391848007,707,118,True,True,2,4,5,11,Loyal
TB-21400,Tom Boeckenhauer,Consumer,7,9133.99,2798.3689,55,0.07058823529411766,2015-01-21,2018-06-11,17,1304.8557142857142,30.6368728233773,1237,203,True,True,2,4,5,11,Loyal
PF-19120,Peter Fuller,Consumer,4,9062.864,-614.2943000000001,75,0.12105263157894738,2015-05-05,2016-09-17,19,2265.716,-6.7781476142641015,501,835,True,True,1,2,5,8,Potential
CM-12385,Christopher Martinez,Consumer,4,8954.019999999999,3899.8903999999998,34,0.12,2016-03-16,2018-11-23,10,2238.5049999999997,43.55463132760481,982,38,True,True,4,1,5,10,Loyal
JD-16150,Justin Deggeller,Corporate,8,8828.0305,1619.5199,60,0.05588235294117647,2015-11-16,2018-11-19,17,1103.5038125,18.345200551810507,1099,42,True,True,4,4,5,13,Champion
JE-15715,Joe Elijah,Consumer,10,8697.842999999999,1262.2926,97,0.3227272727272727,2015-08-25,2018-11-14,21,869.7842999999999,14.512708495658064,1177,47,True,True,4,5,5,14,Champion
LA-16780,Laura Armstrong,Corporate,11,8673.222,2059.1199,105,0.11538461538461539,2015-04-29,2018-07-29,26,788.4747272727273,23.74111835255687,1187,155,True,True,2,5,5,12,Loyal
PK-19075,Pete Kriz,Consumer,12,8646.934,2038.2676000000001,107,0.07600000000000001,2015-11-11,2018-12-21,25,720.5778333333333,23.57214244956652,1136,10,True,True,5,5,5,15,Champion
DR-12940,Daniel Raglin,Home Office,8,8350.868,2869.0759999999996,57,0.15384615384615383,2015-03-28,2018-11-10,13,1043.8585,34.35662017409447,1323,51,True,True,4,4,5,13,Champion
NF-18385,Natalie Fritzler,Consumer,7,8322.826,-1695.9714,52,0.25,2015-02-11,2018-10-12,14,1188.9751428571428,-20.377350193311745,1339,80,True,True,3,4,5,12,Loyal
KD-16270,Karen Daniels,Consumer,5,8282.358,1107.6952000000003,64,0.1875,2015-11-11,2017-09-02,16,1656.4716,13.374152626582916,661,485,True,True,1,2,5,8,Potential
NC-18535,Nick Crebassa,Corporate,7,8241.739,1314.758,64,0.13666666666666666,2015-07-23,2018-12-24,15,1177.3912857142857,15.952434310283303,1250,7,True,True,5,4,5,14,Champion
HM-14860,Harry Marie,Corporate,10,8236.7648,2437.9836,76,0.231,2015-07-21,2018-12-28,20,823.6764800000001,29.598800733025666,1256,3,True,True,5,5,5,15,Champion
KD-16495,Keith Dawkins,Corporate,12,8181.256,3038.6254,84,0.08750000000000001,2015-09-28,2018-09-09,28,681.7713333333334,37.141306909354746,1077,113,True,True,2,5,5,12,Loyal
SB-20290,Sean Braxton,Corporate,7,8057.891,-2082.7451,84,0.24117647058823527,2015-05-09,2018-11-13,17,1151.1272857142856,-25.847273188480713,1284,48,True,True,4,4,5,13,Champion
ZC-21910,Zuschuss Carroll,Consumer,13,8025.707,-1032.1490000000001,105,0.25483870967741934,2015-10-13,2018-11-06,31,617.362076923077,-12.860536772648192,1120,55,True,True,3,5,5,13,Champion
JH-15985,Joseph Holt,Consumer,6,7954.9980000000005,-644.6982,64,0.08571428571428573,2015-08-09,2018-12-01,14,1325.833,-8.104316305296368,1210,30,True,True,4,3,5,12,Loyal
NP-18700,Nora Preis,Consumer,7,7903.1825,631.2282,63,0.19615384615384618,2015-09-05,2018-08-14,12,1129.0260714285714,7.987012826794776,1074,139,True,True,2,4,5,11,Loyal
AH-10690,Anna HÃ¤berlin,Corporate,12,7888.294,1298.0166,102,0.21739130434782608,2015-04-02,2017-11-15,23,657.3578333333334,16.45497239327033,958,411,True,True,1,5,5,11,Loyal
AB-10060,Adam Bellavance,Home Office,8,7755.62,2054.5885,56,0.044444444444444446,2016-09-18,2018-11-06,17,969.4525,26.491608665715955,779,55,True,True,3,4,5,12,Loyal
JE-15610,Jim Epp,Corporate,7,7754.976,1623.4019,74,0.16,2015-10-14,2018-11-12,20,1107.8537142857142,20.933680516870716,1125,49,True,True,4,4,5,13,Champion
JW-15220,Jane Waco,Corporate,6,7721.714,2173.7093999999997,66,0.07142857142857142,2016-04-30,2018-11-18,14,1286.9523333333334,28.15060749465727,932,43,True,True,4,3,5,12,Loyal
LC-16885,Lena Creighton,Consumer,12,7663.126,1288.3469,93,0.1565217391304348,2015-04-25,2018-12-14,23,638.5938333333334,16.8122891363133,1329,17,True,True,5,5,5,15,Champion
JM-15865,John Murray,Consumer,7,7625.076000000001,1574.6163999999999,50,0.1846153846153846,2015-11-19,2018-09-12,13,1089.2965714285715,20.650501057300932,1028,110,True,True,2,4,5,11,Loyal
JD-15895,Jonathan Doherty,Corporate,11,7610.8640000000005,1050.2667999999999,150,0.075,2015-03-26,2017-12-01,32,691.8967272727273,13.79957387229623,981,395,True,True,1,5,5,11,Loyal
PO-18850,Patrick O'Brill,Consumer,11,7473.8282,38.47569999999996,91,0.21,2015-11-02,2018-12-26,22,679.4389272727273,0.5148057858755699,1150,5,True,True,5,5,5,15,Champion
MS-17365,Maribeth Schnelling,Consumer,10,7443.6900000000005,844.9354999999998,105,0.16041666666666668,2015-09-09,2018-04-01,24,744.369,11.351030201418917,935,274,True,True,1,5,5,11,Loyal
RW-19540,Rick Wilson,Corporate,7,7397.401,1586.6273,89,0.13478260869565217,2016-02-03,2018-09-01,23,1056.7715714285714,21.44844250027814,941,121,True,True,2,4,5,11,Loyal
BM-11650,Brian Moss,Corporate,11,7294.185,2199.2781,95,0.08448275862068966,2015-07-09,2018-11-27,28,663.1077272727273,30.15111489494714,1237,34,True,True,4,5,5,14,Champion
PP-18955,Paul Prost,Home Office,10,7252.608,1495.0854,138,0.1088235294117647,2015-08-26,2018-09-24,34,725.2608,20.61445207020702,1125,98,True,True,3,5,5,13,Champion
NW-18400,Natalie Webber,Consumer,7,7234.014,1023.123,78,0.21363636363636365,2015-06-21,2018-07-11,22,1033.4305714285715,14.143226706500705,1116,173,True,True,2,4,5,11,Loyal
Dp-13240,Dean percer,Home Office,11,7198.7609999999995,333.36479999999995,99,0.18620689655172415,2015-05-26,2018-10-07,29,654.4328181818181,4.630863561104473,1230,85,True,True,3,5,5,13,Champion
FH-14365,Fred Hopkins,Corporate,8,6987.196,2050.2826,52,0.13846153846153847,2015-10-20,2018-12-25,13,873.3995,29.343424744346656,1162,6,True,True,5,4,5,14,Champion
RH-19510,Rick Huthwaite,Home Office,6,6979.18,1289.4535,43,0.03333333333333333,2015-11-16,2017-09-19,11,1163.1966666666667,18.475716344900118,673,468,True,True,1,3,5,9,Potential
PS-19045,Penelope Sewall,Home Office,7,6843.634,1742.7296999999999,47,0.0846153846153846,2015-12-20,2018-05-08,13,977.662,25.464975187159332,870,237,True,True,1,4,5,10,Loyal
BB-11545,Brenda Bowman,Corporate,9,6765.728,1015.0749999999999,83,0.195,2016-06-05,2018-12-02,20,751.7475555555556,15.003189605021069,910,29,True,True,4,5,5,14,Champion
JE-15745,Joel Eaton,Consumer,13,6760.8150000000005,221.79670000000002,90,0.14565217391304347,2015-06-22,2018-11-09,22,520.0626923076924,3.2806207535629945,1236,52,True,True,4,5,5,14,Champion
YS-21880,Yana Sorensen,Corporate,8,6720.4439999999995,1778.2923,58,0.05000000000000001,2016-01-12,2018-12-21,11,840.0554999999999,26.46093472395574,1074,10,True,True,5,4,5,14,Champion
AR-10540,Andy Reiter,Consumer,6,6608.448,2884.6208,33,0.06666666666666668,2015-11-25,2018-12-24,9,1101.4080000000001,43.65050311359036,1125,7,True,True,5,3,5,13,Champion
DR-12880,Dan Reichenbach,Corporate,9,6528.034000000001,1641.8613,103,0.13333333333333333,2016-09-25,2018-12-27,24,725.3371111111112,25.150930586452212,823,4,True,True,5,5,5,15,Champion
GK-14620,Grace Kelly,Corporate,9,6497.27,1448.5525,66,0.15714285714285717,2015-06-25,2018-09-09,14,721.9188888888889,22.29478688741579,1172,113,True,True,2,5,5,12,Loyal
JA-15970,Joseph Airdo,Consumer,8,6491.026,-819.4217000000001,87,0.2125,2015-09-17,2018-09-29,24,811.37825,-12.623916465594192,1108,93,True,True,3,4,5,12,Loyal
NM-18445,Nathan Mautz,Home Office,7,6459.344,2751.6848999999997,44,0.042857142857142864,2015-02-08,2018-07-23,14,922.7634285714286,42.60006743718866,1261,161,True,True,2,4,5,11,Loyal
VD-21670,Valerie Dominguez,Consumer,6,6442.254,1617.7874000000002,71,0.07500000000000001,2015-08-04,2017-05-28,16,1073.709,25.11213311365867,663,582,True,True,1,3,5,9,Potential
SB-20185,Sarah Brown,Consumer,6,6410.996,885.4623999999999,45,0.1416666666666667,2015-09-20,2018-06-25,12,1068.4993333333334,13.8116199105412,1009,189,True,True,2,3,5,10,Loyal
JG-15160,James Galang,Consumer,11,6366.392,1415.6664,70,0.1111111111111111,2015-05-30,2018-12-29,18,578.762909090909,22.236557221107343,1309,2,True,True,5,5,5,15,Champion
DM-13015,Darrin Martin,Consumer,7,6345.103,1677.3931,87,0.22999999999999998,2015-09-14,2018-11-03,19,906.4432857142857,26.436026334009078,1146,58,True,True,3,3,5,11,Loyal
CM-12655,Corinna Mitchell,Home Office,6,6339.5576,1572.4585,42,0.072,2016-03-19,2018-12-03,10,1056.5929333333333,24.803915339455234,989,28,True,True,4,3,5,12,Loyal
MJ-17740,Max Jones,Consumer,7,6320.746,1054.5529000000001,50,0.21333333333333335,2016-06-09,2018-12-08,15,902.9637142857143,16.683994262702537,912,23,True,True,5,4,5,14,Champion
BH-11710,Brosina Hoffman,Consumer,8,6255.351,802.7898,97,0.18333333333333335,2015-06-09,2018-12-07,24,781.918875,12.833649142949774,1277,24,True,True,5,4,5,14,Champion
RL-19615,Rob Lucas,Consumer,8,6234.91,488.14840000000004,101,0.21875,2015-12-05,2018-08-31,24,779.36375,7.829277407372361,1000,122,True,True,2,4,5,11,Loyal
WB-21850,William Brown,Consumer,11,6160.102,714.3311,146,0.2054054054054054,2015-11-04,2018-12-10,36,560.0092727272727,11.596092077696115,1132,21,True,True,5,5,5,15,Champion
VW-21775,Victoria Wilson,Corporate,10,6134.0380000000005,-874.6645,77,0.1611111111111111,2015-05-11,2018-12-02,18,613.4038,-14.259195981505165,1301,29,True,True,4,5,5,14,Champion
SD-20485,Shirley Daniels,Home Office,9,6121.114,1985.1671999999999,82,0.10476190476190476,2015-01-26,2018-06-13,21,680.1237777777777,32.43146917374844,1234,201,True,True,2,5,5,12,Loyal
QJ-19255,Quincy Jones,Corporate,9,6108.338,1203.6768,61,0.12307692307692308,2015-03-17,2018-12-05,13,678.7042222222221,19.70547143920327,1359,26,True,True,5,5,5,15,Champion
AD-10180,Alan Dominguez,Home Office,8,6106.88,1869.9294,40,0.05833333333333333,2015-11-19,2018-12-01,12,763.36,30.62004493292811,1108,30,True,True,4,4,5,13,Champion
CB-12025,Cassandra Brandow,Consumer,10,6076.139,150.2089,122,0.16346153846153846,2015-03-21,2018-11-13,25,607.6139000000001,2.4721109902192824,1333,48,True,True,4,5,5,14,Champion
GM-14695,Greg Maxwell,Corporate,3,6049.966,188.7235,44,0.05454545454545456,2015-04-05,2018-09-04,11,2016.6553333333334,3.1194142248072136,1248,118,True,True,2,1,5,8,Potential
SC-20380,Shahid Collister,Consumer,9,5992.536,236.66149999999996,80,0.19,2015-03-01,2018-11-30,20,665.8373333333334,3.9492712267393966,1370,31,True,True,4,5,5,14,Champion
KH-16690,Kristen Hastings,Corporate,7,5990.799,1227.5091,69,0.12666666666666665,2015-03-21,2018-12-28,15,855.8284285714286,20.48990627126699,1378,3,True,True,5,4,5,14,Champion
RM-19675,Robert Marley,Home Office,5,5979.0960000000005,1902.5438000000001,39,0.045454545454545456,2015-11-14,2018-12-24,11,1195.8192000000001,31.819923948369457,1136,7,True,True,5,2,5,12,Loyal
KH-16510,Keith Herrera,Consumer,7,5952.859,656.1162,91,0.10869565217391304,2015-08-15,2018-12-08,23,850.4084285714287,11.021866971819758,1211,23,True,True,5,4,5,14,Champion
BF-11170,Ben Ferrer,Home Office,11,5907.972,1538.2127,102,0.12222222222222222,2015-04-13,2018-12-14,27,537.0883636363636,26.036221904910857,1341,17,True,True,5,5,5,15,Champion
CP-12340,Christine Phan,Corporate,8,5888.275,-1850.3029000000001,59,0.21333333333333335,2015-03-17,2018-07-23,15,736.034375,-31.423513677605076,1224,161,True,True,2,4,5,11,Loyal
BD-11320,Bill Donatelli,Consumer,12,5718.521,1094.5037,75,0.07894736842105263,2016-05-31,2018-11-27,19,476.54341666666664,19.139628935523714,910,34,True,True,4,5,5,14,Champion
CS-12505,Cindy Stewart,Consumer,6,5690.054999999999,-6626.389499999999,40,0.19999999999999998,2015-03-26,2018-11-02,9,948.3424999999999,-116.45563179969263,1317,59,True,True,3,3,5,11,Loyal
AM-10705,Anne McFarland,Consumer,8,5664.022,1085.7326,81,0.06363636363636363,2015-10-31,2018-07-21,22,708.00275,19.168933312759027,994,163,True,True,2,4,5,11,Loyal
RB-19795,Ross Baird,Home Office,8,5633.316000000001,-461.73319999999995,92,0.25,2015-06-03,2018-11-28,17,704.1645000000001,-8.196472557193665,1274,33,True,True,4,4,5,13,Champion
KM-16375,Katherine Murray,Home Office,8,5620.186,973.7901999999999,69,0.13999999999999999,2015-07-20,2018-11-04,20,702.52325,17.3266543135761,1203,57,True,True,3,4,5,12,Loyal
AA-10315,Alex Avila,Consumer,5,5563.56,-362.8825,30,0.09090909090909091,2015-03-31,2018-06-29,11,1112.712,-6.5224874001538575,1186,185,True,True,2,2,5,9,Potential
SM-20950,Suzanne McNair,Corporate,12,5563.392,581.5741999999999,94,0.1272727272727273,2015-09-29,2018-12-05,21,463.616,10.453590183830295,1163,26,True,True,5,5,5,15,Champion
NP-18325,Naresj Patel,Consumer,6,5529.62,1208.8890000000001,77,0.05714285714285715,2015-05-13,2018-12-05,21,921.6033333333334,21.862062854228682,1302,26,True,True,5,3,5,13,Champion
AC-10450,Amy Cox,Consumer,7,5527.846,1366.0098,43,0.18888888888888888,2015-10-31,2018-12-19,9,789.6922857142856,24.71143009410899,1145,12,True,True,5,3,5,13,Champion
MH-18115,Mick Hernandez,Home Office,9,5503.093,170.9746,79,0.16818181818181818,2017-08-23,2018-12-25,22,611.4547777777777,3.1068818935097045,489,6,True,True,5,5,5,15,Champion
DP-13390,Dennis Pardue,Home Office,9,5480.723999999999,1571.8318,50,0.18571428571428572,2015-07-05,2018-01-06,14,608.9693333333332,28.679273030351464,916,359,True,True,1,5,5,11,Loyal
EP-13915,Emily Phan,Consumer,17,5478.0608,144.9578,124,0.19741935483870968,2015-07-06,2018-12-18,30,322.23887058823533,2.6461517185059353,1261,13,True,True,5,5,5,15,Champion
YC-21895,Yoseph Carroll,Corporate,5,5454.35,1305.629,31,0.07500000000000001,2015-11-17,2018-12-26,8,1090.8700000000001,23.93738942312099,1135,5,True,True,5,3,5,13,Champion
SP-20620,Stefania Perrino,Corporate,9,5440.319,-270.42819999999995,77,0.25,2015-09-08,2018-11-13,24,604.4798888888889,-4.970815130509809,1162,48,True,True,4,5,5,14,Champion
LW-17215,Luke Weiss,Consumer,7,5420.514,837.2411,59,0.16666666666666666,2015-09-12,2018-12-09,15,774.3591428571428,15.445787982468081,1184,22,True,True,5,4,5,14,Champion
CP-12085,Cathy Prescott,Corporate,8,5402.254,427.0258,57,0.14285714285714285,2015-12-04,2018-10-09,14,675.28175,7.904585752539588,1040,83,True,True,3,4,5,12,Loyal
TS-21205,Thomas Seio,Corporate,7,5371.09,862.8877,67,0.15789473684210525,2015-03-21,2018-06-15,19,767.2985714285714,16.0654113038508,1182,199,True,True,2,4,5,11,Loyal
TT-21460,Tonja Turnell,Home Office,7,5364.808,1124.4999,48,0.1285714285714286,2016-12-08,2018-12-18,14,766.4011428571429,20.960673709105713,740,13,True,True,5,4,5,14,Champion
MW-18220,Mitch Webber,Consumer,7,5341.900000000001,1238.422,51,0.07857142857142858,2015-08-25,2018-12-13,14,763.1285714285715,23.183174525917742,1206,18,True,True,5,4,5,14,Champion
TP-21415,Tom Prescott,Consumer,5,5329.0048,-1087.3898,39,0.462,2016-11-28,2018-09-17,10,1065.80096,-20.40511954502274,658,105,True,True,2,3,5,10,Loyal
TW-21025,Tamara Willingham,Home Office,7,5278.826,737.3905,57,0.10000000000000002,2015-12-22,2018-10-27,12,754.118,13.968835115989805,1040,65,True,True,3,4,5,12,Loyal
DW-13480,Dianna Wilson,Home Office,5,5271.628,1348.7556,38,0.03636363636363637,2015-06-01,2018-05-27,11,1054.3256,25.58518165545824,1091,218,True,True,2,2,5,9,Potential
MW-18235,Mitch Willingham,Corporate,2,5253.876,1665.516,13,0.06666666666666667,2015-05-21,2018-11-16,3,2626.938,31.700710104311558,1275,45,True,True,4,1,5,10,Loyal
HR-14830,Harold Ryan,Corporate,7,5248.787,1196.9504,51,0.09999999999999999,2015-11-24,2018-07-24,14,749.8267142857143,22.80432412288782,973,160,True,True,2,4,5,11,Loyal
SC-20725,Steven Cartwright,Consumer,11,5226.21,1276.6513,133,0.15000000000000002,2015-06-03,2018-06-26,26,475.11,24.427860725076105,1119,188,True,True,2,5,5,12,Loyal
RP-19390,Resi PÃ¶lking,Consumer,12,5153.084,465.25030000000015,88,0.14800000000000002,2015-05-24,2018-11-27,25,429.42366666666663,9.028579778633535,1283,34,True,True,4,5,5,14,Champion
LR-16915,Lena Radford,Consumer,6,5142.892,535.4764,64,0.17500000000000002,2015-08-08,2018-12-04,16,857.1486666666666,10.411970541088555,1214,27,True,True,5,3,5,13,Champion
MP-18175,Mike Pelletier,Home Office,9,5087.92,226.4529,78,0.15526315789473685,2015-03-28,2018-12-14,19,565.3244444444445,4.450795216905926,1357,17,True,True,5,5,5,15,Champion
AA-10645,Anna Andreadi,Consumer,6,5086.9349999999995,857.8033,64,0.06388888888888888,2015-06-22,2018-11-05,18,847.8224999999999,16.862871257446777,1232,56,True,True,3,3,5,11,Loyal
IL-15100,Ivan Liston,Consumer,7,5040.736,1121.937,60,0.07142857142857142,2015-08-01,2018-08-10,14,720.1051428571428,22.257404474267247,1105,143,True,True,2,4,5,11,Loyal
KL-16555,Kelly Lampkin,Corporate,8,5016.488,-182.78130000000002,84,0.29545454545454547,2015-06-15,2018-12-14,22,627.061,-3.6436108289305187,1278,17,True,True,5,4,5,14,Champion
DH-13075,Dave Hallsten,Corporate,6,4932.872,1193.7404,81,0.0782608695652174,2015-11-21,2018-03-28,23,822.1453333333334,24.199703539844535,858,278,True,True,1,3,5,9,Potential
IM-15070,Irene Maddox,Consumer,7,4930.474,514.6527,93,0.16666666666666666,2015-12-19,2017-12-05,21,704.3534285714286,10.438199248185875,717,391,True,True,1,4,5,10,Loyal
TT-21070,Ted Trevino,Consumer,7,4915.602,751.9567,66,0.1142857142857143,2015-05-18,2018-11-29,14,702.2288571428571,15.297347100111033,1291,32,True,True,4,4,5,13,Champion
KM-16720,Kunst Miller,Consumer,8,4909.472,745.7685,98,0.08928571428571429,2015-03-30,2018-12-02,28,613.684,15.190401330326358,1343,29,True,True,4,4,5,13,Champion
PO-19180,Philisse Overcash,Home Office,9,4893.043,1155.4331,65,0.10555555555555557,2016-08-11,2018-07-23,18,543.6714444444444,23.61379411544105,711,161,True,True,2,5,5,12,Loyal
HK-14890,Heather Kirkland,Corporate,8,4877.784,956.9451,64,0.21333333333333335,2015-06-10,2018-08-01,15,609.723,19.618439438892747,1148,152,True,True,2,4,5,11,Loyal
AJ-10780,Anthony Jacobs,Corporate,7,4867.344,150.71300000000005,62,0.08666666666666667,2015-01-10,2018-10-16,15,695.3348571428571,3.0964115131373506,1375,76,True,True,3,3,5,11,Loyal
JK-15730,Joe Kamberova,Consumer,10,4867.2,55.0483,88,0.3325,2015-11-18,2018-10-07,20,486.71999999999997,1.1310055062458908,1054,85,True,True,3,5,5,13,Champion
AH-10210,Alan Hwang,Consumer,9,4805.344,1308.5546,53,0.09230769230769233,2015-11-29,2018-12-24,13,533.9271111111111,27.231236723114932,1121,7,True,True,5,5,5,15,Champion
DK-13225,Dean Katz,Corporate,9,4802.394,209.89940000000004,70,0.19473684210526318,2015-03-14,2018-12-20,19,533.5993333333333,4.370724267938033,1377,11,True,True,5,5,5,15,Champion
