row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,order_year,order_month,order_month_name,order_quarter,order_quarter_num,year_month,year_quarter,order_day_name,order_week,is_weekend_order,processing_month,shipping_days,is_delayed,profit_margin,unit_price,is_loss,is_discounted,discount_value,discount_band,sales_category,margin_band,lifetime_orders,lifetime_value,is_high_value,is_repeat,rfm_segment,sales_outlier,profit_outlier,quantity_outlier,discount_outlier,shipping_days_outlier
2,CA-2017-152156,2017-11-08,2017-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,2017,11,Nov,Q4,4,2017-11,2017-Q4,Wednesday,45,False,Nov,3,False,30.0,243.98,False,False,0.0,No discount,Very Large,Strong (25%+),3,1148.7800000000002,False,True,At Risk,True,True,False,False,False
4,US-2016-108966,2016-10-11,2016-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,2016,10,Oct,Q4,4,2016-10,2016-Q4,Tuesday,41,False,Oct,7,True,-40.0,191.5155,True,True,783.4724999999997,31-50%,Very Large,Loss,6,2602.5755,False,True,Loyal,True,True,False,False,False
8,CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,2015,6,Jun,Q2,2,2015-06,2015-Q2,Tuesday,24,False,Jun,5,False,10.0,151.192,False,True,226.788,16-30%,Very Large,Low (0-10%),8,6255.351,True,True,Champion,True,True,False,False,False
11,CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,2015,6,Jun,Q2,2,2015-06,2015-Q2,Tuesday,24,False,Jun,5,False,5.0,189.576,False,True,426.5460000000001,16-30%,Very Large,Low (0-10%),8,6255.351,True,True,Champion,True,True,False,False,False
12,CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 ConferenceÂ phoneÂ - Charcoal black,911.424,4,0.2,68.3568,2015,6,Jun,Q2,2,2015-06,2015-Q2,Tuesday,24,False,Jun,5,False,7.500000000000001,227.856,False,True,227.856,16-30%,Very Large,Low (0-10%),8,6255.351,True,True,Champion,True,False,False,False,False
14,CA-2017-161389,2017-12-05,2017-12-10,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,2017,12,Dec,Q4,4,2017-12,2017-Q4,Tuesday,49,False,Dec,5,False,32.49999999999999,135.992,False,True,101.99399999999996,16-30%,Very Large,Strong (25%+),7,4930.474,True,True,Loyal,False,True,False,False,False
15,US-2016-118983,2016-11-22,2016-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,2016,11,Nov,Q4,4,2016-11,2016-Q4,Tuesday,47,False,Nov,4,False,-180.0,13.762,True,True,275.24000000000007,50%+,Large,Loss,7,1990.314,False,True,Loyal,False,True,False,True,False
16,US-2016-118983,2016-11-22,2016-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,2016,11,Nov,Q4,4,2016-11,2016-Q4,Tuesday,47,False,Nov,4,False,-150.0,0.848,True,True,10.176000000000002,50%+,Small,Loss,7,1990.314,False,True,Loyal,False,False,False,True,False
17,CA-2015-105893,2015-11-11,2015-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,2015,11,Nov,Q4,4,2015-11,2015-Q4,Wednesday,46,False,Nov,7,True,2.0,110.98,False,False,0.0,No discount,Very Large,Low (0-10%),12,8646.934,True,True,Champion,True,False,False,False,False
25,CA-2016-106320,2016-09-25,2016-09-30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649,2016,9,Sep,Q3,3,2016-09,2016-Q3,Sunday,38,True,Sep,5,False,23.0,348.21000000000004,False,False,0.0,No discount,Very Large,Healthy (10-25%),10,2767.219,False,True,Loyal,True,True,False,False,False
