order_id,order_date,customer_name,product_name,discount_pct,sales,profit
CA-2015-169019,2015-07-26,Luke Foster,GBC DocuBind P400 Electric Binding System,80.0,2177.58,-3701.89
US-2018-122714,2018-12-07,Henry Goldwyn,Ibico EPK-21 Electric Binding System,80.0,1889.99,-2929.48
CA-2018-131254,2018-11-19,Nathan Cano,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,80.0,1525.19,-2287.78
CA-2017-130946,2017-04-08,Zuschuss Carroll,GBC DocuBind P400 Electric Binding System,80.0,1088.79,-1850.95
CA-2015-165309,2015-11-11,Karen Daniels,GBC DocuBind TL300 Electric Binding System,80.0,896.99,-1480.03
CA-2016-140025,2016-04-07,Peter Fuller,Hoover Upright Vacuum With Dirt Cup,80.0,463.25,-1181.28
CA-2018-152093,2018-09-10,Skye Norling,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,80.0,762.59,-1143.89
US-2018-148551,2018-01-12,David Bremer,GBC Ibimaster 500 Manual ProClick Binding System,80.0,760.98,-1141.47
US-2018-147221,2018-12-02,Joy Smith,3.6 Cubic Foot Counter Height Office Refrigerator,80.0,294.62,-766.01
CA-2017-132479,2017-09-24,Michael Kennedy,GBC ProClick 150 Presentation Binding System,80.0,442.37,-729.91
CA-2015-126193,2015-09-07,Shahid Shariari,Ibico Hi-Tech Manual Binding System,80.0,304.99,-533.73
US-2016-155369,2016-04-19,Patrick Gardner,Fellowes PB300 Plastic Comb Binding Machine,80.0,310.39,-512.15
CA-2016-140221,2016-03-05,Maribeth Schnelling,Avanti 4.4 Cu. Ft. Refrigerator,80.0,180.98,-470.55
CA-2015-130421,2015-03-03,Sam Craven,3.6 Cubic Foot Counter Height Office Refrigerator,80.0,176.77,-459.61
CA-2015-139892,2015-09-08,Becky Martin,Kensington 7 Outlet MasterPiece Power Center,80.0,177.98,-453.85
